noteId,tweetId,writer,cites_bbc_com,cites_cnn_com,cites_en_wikipedia_org,cites_facebook_com,cites_instagram_com,cites_reuters_com,cites_share_google,cites_snopes_com,cites_t_co,cites_theguardian_com,cites_x_com,cites_x_com_grok,cites_yahoo_com,cites_youtube_com
1998933442449260819,1998906369337172202,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998934646197772753,1998879143187128564,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998936317686661388,1998771592348971522,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999217248590807173,1998718105808249233,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999275287096250432,1999064913155633547,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999277470177001698,1998956007423455688,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999277752122229135,1999158318032666708,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1999279049152102442,1999208409111949607,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999489445238550755,1999388527591661954,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999492146877845991,1999285804288635054,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999492330026344692,1999280674470015189,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999605090483650723,1999342443125174603,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1999606305598701871,1999547059049840787,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1999962226564677672,1999884689675596282,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999986103437152529,1999609742998798776,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999986971448361078,1999251484391981511,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999987356200296746,1999576316467622251,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999988434920788409,1999964115729867235,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000213691082416509,2000168676201558487,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000215508356935772,2000175099077599562,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000215730717851802,1999898065109745852,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000216612431901061,1999921240744902673,bot,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000217211797897587,1999999737379143950,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000220023445463342,2000188768859603060,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000580170315350045,2000539932218061305,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000580391023858056,2000519349946265859,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000667954162151849,2000562609049977196,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000692204486950935,2000579345438380194,bot,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000693001501216987,2000583478971351203,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000699616568730073,2000650407878787341,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000700305512493263,2000453167956602973,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
